--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
091.916  000.364: inits 3
092.712  000.796: reading ShaDa
094.398  001.298  001.298: require('vim.filetype.detect')
095.365  000.768  000.768: sourcing /Users/mattjennings/.local/share/nvim/lazy/copilot.vim/autoload/copilot.vim
095.464  000.022  000.022: sourcing /Users/mattjennings/.local/share/nvim/lazy/copilot.vim/autoload/copilot/util.vim
096.172  000.088  000.088: require('luasnip.util.directed_graph')
096.238  000.064  000.064: require('luasnip.session.enqueueable_operations')
096.242  000.253  000.101: require('luasnip.loaders.from_lua')
096.765  000.088  000.088: require('luasnip.util.events')
096.773  000.214  000.127: require('luasnip.nodes.node')
096.916  000.142  000.142: require('luasnip.nodes.insertNode')
096.996  000.079  000.079: require('luasnip.nodes.textNode')
097.078  000.081  000.081: require('luasnip.util.mark')
097.136  000.057  000.057: require('luasnip.util.pattern_tokenizer')
097.190  000.053  000.053: require('luasnip.util.dict')
097.912  000.657  000.657: require('luasnip.util.jsregexp')
097.915  000.724  000.067: require('luasnip.nodes.util.trig_engines')
097.946  001.486  000.136: require('luasnip.nodes.snippet')
097.949  001.552  000.066: require('luasnip.nodes.duplicate')
097.951  001.629  000.077: require('luasnip.loaders.snippet_cache')
097.955  001.712  000.083: require('luasnip.loaders.from_snipmate')
098.364  000.070  000.070: require('luasnip.util.parser.neovim_ast')
098.426  000.061  000.061: require('luasnip.util.str')
098.934  000.456  000.456: require('luasnip.util.jsregexp')
098.940  000.719  000.132: require('luasnip.util.parser.ast_utils')
099.112  000.171  000.171: require('luasnip.nodes.functionNode')
099.351  000.238  000.238: require('luasnip.nodes.choiceNode')
099.559  000.208  000.208: require('luasnip.nodes.dynamicNode')
099.683  000.122  000.122: require('luasnip.util.functions')
099.692  001.542  000.084: require('luasnip.util.parser.ast_parser')
099.929  000.236  000.236: require('luasnip.util.parser.neovim_parser')
099.936  001.869  000.090: require('luasnip.util.parser')
100.017  000.080  000.080: require('luasnip.nodes.snippetProxy')
100.136  000.112  000.112: require('luasnip.util.jsonc')
